"","Country","ath","year","Total","rank","final_vote","host_country","on_final_vote","gdps","pops"
"119","Slovakia",0.248171124875258,1994,-0.45498652944378,0,-0.16582719486181,0,0,-0.59607502859009,-0.271954994763476
"120","Slovenia",-0.18753351162255,1994,-0.0002854369695381,17,-0.16582719486181,0,0,-0.413979535980282,-0.29011818823266
"121","South Africa",-0.623238148120358,1994,-0.45498652944378,0,-0.16582719486181,0,0,-0.638669431934675,-0.0936828173892953
"122","Spain",-0.383600598046564,1994,-0.45498652944378,0,-0.16582719486181,0,0,-0.171564645269906,-0.0865796795412095
"123","Sweden",1.16315086152066,1994,-0.0002854369695381,14,5.18326217958247,0,1,0.503536415035007,-0.253769272266748
"124","Switzerland",0.618520065898395,1994,0.909116747978947,7,-0.16582719486181,0,0,0.875428831700127,-0.263748210422387
"125","Chinese Taipei",-0.623238148120358,1994,-0.45498652944378,0,-0.16582719486181,0,0,-0.36825770096414,-0.0289646465599398
"126","Trinidad and Tobago",-0.623238148120358,1994,-0.45498652944378,0,-0.16582719486181,0,0,-0.608941146758359,-0.294332816583742
"127","Turkey",-0.645023379945248,1994,-0.45498652944378,0,-0.16582719486181,0,0,-0.668585675937443,0.000218296903221238
"128","Ukraine",0.139244965750806,1994,-0.151852467794286,18,-0.16582719486181,0,0,-0.72499937353714,-0.0153465223457775
"129","United States",2.53562046648875,1994,1.51538487127794,5,-0.16582719486181,0,1,0.322619646051881,1.09012551977257
"130","Uzbekistan",-0.514311988995906,1994,-0.303419498619033,21,-0.16582719486181,0,0,-0.76450175503781,-0.185875202921145
"131","Virgin Islands",-0.492526757171016,1994,-0.45498652944378,0,-0.16582719486181,0,0,-0.0725029836748418,-0.300512958889825
"132","Andorra",-0.601452916295468,1998,-0.45498652944378,0,-0.16582719486181,0,0,0.00937127199595064,-0.300741417670387
"133","Argentina",-0.623238148120358,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.451256060662451,-0.108849239157646
"134","Armenia",-0.514311988995906,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.771018914330731,-0.283322644860942
"135","Australia",-0.16574827979766,1998,-0.303419498619033,22,-0.16582719486181,0,0,0.12760263638646,-0.201712372934365
"136","Austria",1.42457364341934,1998,2.12165299457693,4,-0.16582719486181,0,0,0.440215820290419,-0.257438622098341
"137","Azerbaijan",-0.579667684470577,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.770686146034452,-0.2589100448824
"138","Belarus",0.618520065898395,1998,-0.151852467794286,17,-0.16582719486181,0,0,-0.725565720085234,-0.245107594778836
"139","Belgium",-0.645023379945248,1998,-0.303419498619033,23,-0.16582719486181,0,0,0.365977903222794,-0.245395792464769
"140","Bermuda",-0.645023379945248,1998,-0.45498652944378,0,-0.16582719486181,0,0,0.923064457760162,-0.300760741924805
"141","Bosnia and Herzegovina",-0.492526757171016,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.719265058709725,-0.279753065024006
"142","Brazil",-0.645023379945248,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.596501091041686,0.590876474200964
"143","Bulgaria",-0.252889207097221,1998,-0.303419498619033,19,-0.16582719486181,0,0,-0.732197752890183,-0.254933076395767
"144","Canada",2.47026477101408,1998,1.81851893292743,5,-0.16582719486181,0,0,0.143365391964687,-0.13957712373565
"145","Chile",-0.601452916295468,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.575277357553182,-0.222548529630095
"146","China",0.531379138598833,1998,0.757549717154199,12,-0.16582719486181,0,0,-0.764599292629568,6.31810291363705
"147","Croatia",-0.536097220820796,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.586523236868644,-0.275783735898827
"148","Cyprus",-0.645023379945248,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.190087258033639,-0.29638961381938
"149","Czech Republic",0.640305297723285,1998,-0.0002854369695381,15,-0.16582719486181,0,0,-0.549785294021684,-0.244367873573791
"150","Denmark",-0.405385829871454,1998,-0.303419498619033,20,-0.16582719486181,0,0,0.66781333145244,-0.272320420228155
"151","Estonia",-0.231103975272331,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.643005651444789,-0.293166657232223
"152","Finland",1.18493609334555,1998,1.36381784045319,7,-0.16582719486181,0,0,0.244982357879291,-0.273033985604792
"153","France",1.64242596166824,1998,0.757549717154199,11,-0.16582719486181,0,0,0.334383737939125,0.0260856737488905
"154","Georgia",-0.579667684470577,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.763428218094911,-0.275092006061448
"155","Germany",2.05634536634116,1998,3.9404573644739,1,-0.16582719486181,0,0,0.491420490143072,0.147559940552615
"156","Great Britain",0.0738892702761349,1998,-0.303419498619033,24,-0.16582719486181,0,0,0.213429914937379,0.0177258867687162
"157","Greece",-0.383600598046564,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.234242470734483,-0.243054002316324
"158","Hungary",-0.296459670747002,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.596020708222959,-0.244344244416652
"159","Iceland",-0.514311988995906,1998,-0.45498652944378,0,-0.16582719486181,0,0,0.390515469732443,-0.299619227234667
"160","India",-0.645023379945248,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.774842184128984,4.97760258080548
"161","Iran",-0.645023379945248,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.722162117824213,0.0325609750005027
"162","Ireland",-0.536097220820796,1998,-0.45498652944378,0,-0.16582719486181,0,0,0.0507820008206423,-0.281210563090812
"163","Israel",-0.601452916295468,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.0383502851028676,-0.270609500000543
"164","Italy",1.77313735261759,1998,1.06068377880369,10,-0.16582719486181,0,1,0.142817948606581,0.0113326984867099
"165","Jamaica",-0.536097220820796,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.686412602107659,-0.28714431483364
"166","Japan",2.73168755291276,1998,1.06068377880369,9,6.14335514422632,1,1,0.944404994969813,0.387728491733258
"167","Kazakhstan",0.640305297723285,1998,-0.151852467794286,18,-0.16582719486181,0,0,-0.729473798828752,-0.214097523113056
"168","Kenya",-0.645023379945248,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.775873606679065,-0.150795491412492
"169","North Korea",-0.492526757171016,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.67870246696177,-0.181123902558926
"170","South Korea",0.139244965750806,1998,0.454415655504704,14,-0.16582719486181,0,0,-0.280158016743785,-0.0533592705747603
"171","Kyrgyzstan",-0.645023379945248,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.773590801858466,-0.275902431199807
"172","Latvia",-0.0350368888483171,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.631207100527978,-0.287395915900801
"173","Liechtenstein",-0.492526757171016,1998,-0.45498652944378,0,-0.16582719486181,0,0,2.38092554557095,-0.300919356213954
"174","Lithuania",-0.514311988995906,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.631110060756165,-0.281146335744615
"175","Luxembourg",-0.645023379945248,1998,-0.45498652944378,0,-0.16582719486181,0,0,1.37258605877842,-0.298843924915092
"176","Macedonia",-0.601452916295468,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.706986133030849,-0.290166721422394
"177","Moldova",-0.623238148120358,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.765106006099241,-0.280878781149777
"178","Monaco",-0.579667684470577,1998,-0.45498652944378,0,-0.16582719486181,0,0,3.4480325199609,-0.300920242032589
"179","Mongolia",-0.601452916295468,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.769008028288521,-0.288456660636683
"180","Netherlands",-0.18753351162255,1998,1.21225080962844,8,-0.16582719486181,0,0,0.394091515131078,-0.2161631301777
"181","New Zealand",-0.492526757171016,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.049731437582812,-0.280889941805161
"182","Norway",0.988869006921532,1998,3.33418924117491,2,-0.16582719486181,0,0,0.710050871191371,-0.2771363336963
"183","Poland",0.182815429400587,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.634797864853991,-0.0891154958426254
"184","Portugal",-0.623238148120358,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.293621617153882,-0.245966709169269
"185","Puerto Rico",-0.536097220820796,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.270132801207796,-0.280831669006563
"186","Romania",-0.318244902571892,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.724624862768042,-0.176512983568787
"187","Russia",1.99098967086649,1998,2.27322002540167,3,-0.16582719486181,0,0,-0.667993120556786,0.513630218553028
"188","Slovakia",0.139244965750806,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.592791725244656,-0.271645570401218
"189","Slovenia",0.0738892702761349,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.30871114668825,-0.290158346809492
"190","South Africa",-0.623238148120358,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.631836920066384,-0.0738791097885305
"191","Spain",-0.405385829871454,1998,-0.45498652944378,0,-0.16582719486181,0,1,-0.132574809189387,-0.0828415996351959
"192","Sweden",1.48992933889401,1998,-0.0002854369695381,16,-0.16582719486181,0,1,0.494238545225582,-0.252716947204021
"193","Switzerland",0.836372384147299,1998,0.605982686329452,13,-0.16582719486181,0,0,1.15492527689534,-0.262476121009896
"194","Chinese Taipei",-0.514311988995906,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.357353859034396,0.00025791805410678
"195","Trinidad and Tobago",-0.623238148120358,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.600712728116993,-0.294199347014882
"196","Turkey",-0.645023379945248,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.659798028504116,0.0203774694546575
"197","Ukraine",0.553164370423724,1998,-0.303419498619033,21,-0.16582719486181,0,0,-0.74545176140754,-0.0183480869189034
"198","United States",3.38524450765948,1998,1.51538487127794,6,5.59473059300126,0,1,0.516265742421155,1.16213180430609
"199","Uruguay",-0.645023379945248,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.521870757732022,-0.283368573348238
"200","Uzbekistan",-0.579667684470577,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.764316681645081,-0.175803826403745
"201","Venezuela",-0.645023379945248,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.651726613961667,-0.179163846389709
"202","Virgin Islands",-0.514311988995906,1998,-0.45498652944378,0,-0.16582719486181,0,0,0.0958255771848683,-0.300497461459833
"203","Yugoslavia",-0.623238148120358,1998,-0.45498652944378,0,-0.16582719486181,0,0,-0.706986133030849,-0.283224110333644
"204","Andorra",-0.601452916295468,2002,-0.45498652944378,0,-0.16582719486181,0,0,0.112409611934253,-0.300731103268538
"205","Argentina",-0.427171061696344,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.438798660235179,-0.0996887193896616
"206","Armenia",-0.470741525346125,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.763737321748766,-0.284107760424428
"207","Australia",-0.078607352498098,2002,-0.151852467794286,19,-0.16582719486181,0,0,0.173011201798797,-0.19698873956758
"208","Austria",1.29386225247,2002,2.12165299457693,5,-0.16582719486181,0,0,0.384264670242143,-0.257137569051894
"209","Azerbaijan",-0.579667684470577,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.764161414277452,-0.257244409110173
"210","Belarus",0.727446225022847,2002,-0.303419498619033,23,-0.16582719486181,0,0,-0.731266848929587,-0.246004516919723
"211","Belgium",-0.536097220820796,2002,-0.45498652944378,0,-0.16582719486181,0,0,0.314509644392295,-0.244875158606661
"212","Bermuda",-0.645023379945248,2002,-0.45498652944378,0,-0.16582719486181,0,0,1.64245340774676,-0.300751444126228
"213","Bosnia and Herzegovina",-0.623238148120358,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.734256084536788,-0.280427113657661
"214","Brazil",-0.448956293521235,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.60415847410991,0.647938599412371
"215","Bulgaria",-0.16574827979766,2002,-0.0002854369695381,18,-0.16582719486181,0,0,-0.71773484727544,-0.256073950351085
"216","Cameroon",-0.645023379945248,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.761590263090232,-0.219181414302806
"217","Canada",2.60097616196342,2002,2.12165299457693,4,0.794265769782035,0,1,0.226821804647049,-0.133392346817676
"218","Chile",-0.536097220820796,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.556787695334657,-0.218257985742761
"219","China",0.771016688672628,2002,0.757549717154199,11,-0.16582719486181,0,0,-0.750640350674781,6.57800715671391
"220","Costa Rica",-0.645023379945248,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.624055700142627,-0.27996438002679
"221","Croatia",-0.361815366221673,2002,0.151281593855209,14,-0.16582719486181,0,0,-0.554820554369285,-0.276368420159211
"222","Cyprus",-0.645023379945248,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.11570549767733,-0.296000937264076
"223","Czech Republic",0.988869006921532,2002,-0.0002854369695381,16,-0.16582719486181,0,0,-0.508281687196954,-0.244649263864406
"224","Denmark",-0.427171061696344,2002,-0.45498652944378,0,-0.16582719486181,0,0,0.665178833986066,-0.271844361950718
"225","Estonia",-0.296459670747002,2002,-0.0002854369695381,17,-0.16582719486181,0,0,-0.607249989787422,-0.293438524422996
"226","Fiji",-0.645023379945248,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.689737372036319,-0.296665195733461
"227","Finland",1.46814410706912,2002,0.605982686329452,12,-0.16582719486181,0,0,0.347667959287072,-0.272708622002255
"228","France",1.81670781626737,2002,1.21225080962844,8,-0.16582719486181,0,0,0.286584822868589,0.0318269841408219
"229","Georgia",-0.579667684470577,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.758425213077885,-0.27660679988868
"230","Germany",2.75347278473765,2002,5.00142658024713,1,-0.16582719486181,0,0,0.370962356954225,0.150330902136548
"231","Great Britain",0.400667747649491,2002,-0.151852467794286,20,-0.16582719486181,0,0,0.449930774566288,0.0214751800835808
"232","Greece",-0.448956293521235,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.206252616457927,-0.241948534729676
"233","Hong Kong",-0.623238148120358,2002,-0.45498652944378,0,-0.16582719486181,0,0,0.3766484853236,-0.264800244242014
"234","Hungary",-0.122177816147879,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.574244178703096,-0.244826096783225
"235","Iceland",-0.536097220820796,2002,-0.45498652944378,0,-0.16582719486181,0,0,0.578192012744786,-0.299562659032475
"236","India",-0.645023379945248,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.771899193160589,5.38358880705589
"237","Iran",-0.623238148120358,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.711375144867881,0.0559884402489175
"238","Ireland",-0.536097220820796,2002,-0.45498652944378,0,-0.16582719486181,0,0,0.361893802552371,-0.280412775704915
"239","Israel",-0.557882452645687,2002,-0.45498652944378,0,-0.16582719486181,0,0,0.108248969652142,-0.267392637537867
"240","Italy",1.77313735261759,2002,1.51538487127794,7,-0.16582719486181,0,0,0.170601688262022,0.0117277604095946
"241","Jamaica",-0.623238148120358,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.643837686804507,-0.286618033057461
"242","Japan",1.57707026619357,2002,-0.151852467794286,21,-0.16582719486181,0,0,0.793429530993988,0.394685355207375
"243","Kazakhstan",0.422452979474381,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.73013914611645,-0.218578766387843
"244","Kenya",-0.645023379945248,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.771812787956816,-0.13283142469713
"245","South Korea",0.378882515824601,2002,0.151281593855209,15,-0.16582719486181,0,0,-0.304765231034665,-0.0447564824415932
"246","Kyrgyzstan",-0.623238148120358,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.777108959797177,-0.274548095835012
"247","Latvia",0.35709728399971,2002,-0.45498652944378,0,-0.16582719486181,0,0,-0.649046026125177,-0.287968608638695
